_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
4955,1088,5145355,St Timothy Catholic Elementary School,,ES,Toronto Catholic District School Board,25 Rochelle Cres,English Separate,5145355,25,Rochelle Cres,25 Rochelle Cres,M2J 1Y3,North York,Toronto,St. Timothy Catholic School,102003,5145339,25,,,,6567,316749.681,4848143.366,43.77516177,-79.35136574,"{u'type': u'Point', u'coordinates': (-79.3513625072, 43.7751531673)}"
4956,1089,356351,St Ursula Catholic Elementary School,,ES,Toronto Catholic District School Board,215 Livingston Rd,English Separate,356351,215,Livingston Rd,215 Livingston Rd,M1E 1L8,Scarborough,Toronto,St. Ursula,102003,30059524,215,,,,8348,328971.878,4845358.769,43.74979221,-79.1996604,"{u'type': u'Point', u'coordinates': (-79.1996603997, 43.7497922145)}"
4957,1090,307269,St Victor Catholic Elementary School,,ES,Toronto Catholic District School Board,20 Bernadine St,English Separate,307269,20,Bernadine St,20 Bernadine St,M1P 4M2,Scarborough,Toronto,St. Victor,102003,108321,20,,,,7348,324178.342,4847483.49,43.76906576,-79.25910858,"{u'type': u'Point', u'coordinates': (-79.2591053695, 43.7690571563)}"
4958,1091,804845,St Vincent De Paul Catholic Elementary School,,ES,Toronto Catholic District School Board,116 Fermanagh Ave,English Separate,804845,116,Fermanagh Ave,116 Fermanagh Ave,M6R 1M2,former Toronto,Toronto,St. Vincent De Paul Catholic School,102003,14017559,116,,,,3433,308985.365,4833877.844,43.64683784,-79.44792627,"{u'type': u'Point', u'coordinates': (-79.4479230169, 43.6468292694)}"
4959,1092,11574893,St Wilfrid Catholic Elementary School,,ES,Toronto Catholic District School Board,1685 Finch Ave W,English Separate,11574893,1685,Finch Ave W,1685 Finch Ave W,M3J 2G8,North York,Toronto,Saint Wilfrid Catholic School - Building Grounds,102003,30016929,1685,,,,1610,304578.685,4846439.995,43.75991688,-79.50255431,"{u'type': u'Point', u'coordinates': (-79.5025543072, 43.7599168793)}"
4960,1093,20200382,Stanley Public School,,EP,Toronto District School Board,75 Stanley Rd,English Public,20200382,75,Stanley Rd,75 Stanley Rd,M3N 1C2,North York,Toronto,Stanley Public School,102002,11271967,75,,,,6783,303348.443,4844430.928,43.74183978,-79.51783033,"{u'type': u'Point', u'coordinates': (-79.5178270423, 43.7418311838)}"
4961,1094,9467757,Steelesview Public School,,EP,Toronto District School Board,105 Bestview Dr,English Public,9467757,105,Bestview Dr,105 Bestview Dr,M2M 2Y1,North York,Toronto,Steelesview Public School,102001,9467747,105,,,,4945,313986.778,4851195.601,43.8026747,-79.3856361,"{u'type': u'Point', u'coordinates': (-79.3856328581, 43.8026660883)}"
4962,1095,9780035,Stella Maris Catholic Elementary School,,ES,Toronto Catholic District School Board,31 Ascot Ave,English Separate,9780035,31,Ascot Ave,31 Ascot Ave,M6E 1E6,former Toronto,Toronto,Stella Maris Catholic School,102003,14015702,31,,,,2904,309201.267,4837524.244,43.67965933,-79.4452194,"{u'type': u'Point', u'coordinates': (-79.445216153, 43.6796507363)}"
4963,1096,9668671,Stephen Leacock Collegiate Institute,,EP,Toronto District School Board,2450 Birchmount Rd,English Public,9668671,2450,Birchmount Rd,2450 Birchmount Rd,M1T 2M5,Scarborough,Toronto,Stephen Leacock Collegiate Institute - Building Grounds,102001,30000677,2450,,,,7365,320812.76,4849268.418,43.78520344,-79.30085689,"{u'type': u'Point', u'coordinates': (-79.3008568907, 43.7852034349)}"
4964,1097,7522835,Stilecroft Public School,,EP,Toronto District School Board,50 Stilecroft Dr,English Public,7522835,50,Stilecroft Dr,50 Stilecroft Dr,M3J 1A7,North York,Toronto,Stilecroft Public School,102001,30092975,50,,,,6797,305331.549,4845455.599,43.75105582,-79.4932051,"{u'type': u'Point', u'coordinates': (-79.4932050987, 43.7510558213)}"
4965,1098,853872,Subway Academy One,,EP,Toronto District School Board,16 Phin Ave,English Public,853872,16,Phin Ave,16 Phin Ave,M4J 3T2,former Toronto,Toronto,Eastern High School Of Commerce,102002,1140397,16,,,,4186,317956.118,4837478.967,43.67914883,-79.33663928,"{u'type': u'Point', u'coordinates': (-79.3366360566, 43.6791402347)}"
4966,1099,6350055,Subway Academy Two,,EP,Toronto District School Board,64 Baldwin St,English Public,6350055,64,Baldwin St,64 Baldwin St,M5T 1L4,former Toronto,Toronto,Beverley Public School,115001,1144586,64,,,,2938,313196.655,4834874.475,43.65577382,-79.39570834,"{u'type': u'Point', u'coordinates': (-79.3957051034, 43.6557652369)}"
4967,1100,484181,Summit Heights Public Schol,,EP,Toronto District School Board,139 Armour Blvd,English Public,484181,139,Armour Blvd,139 Armour Blvd,M3H 1M1,North York,Toronto,Summit Heights Public School,102001,442284,139,,,,4827,310419.521,4844376.519,43.74133037,-79.4300402,"{u'type': u'Point', u'coordinates': (-79.4300369384, 43.7413217747)}"
4968,1101,2302310,Sunflower Montessori School,,PR,,582 Oakwood Ave,Priv,2302310,582,Oakwood Ave,582 Oakwood Ave,M6E 2X5,York,Toronto,,100001,2302307,582,,,,794,309487.47,4839121.733,43.6940369,-79.44165684,"{u'type': u'Point', u'coordinates': (-79.4416535817, 43.6940283126)}"
4969,1102,2476346,Sunny View Jr and Sr Public School,,EP,Toronto District School Board,450 Blythwood  Rd,English Public,2476346,450,Blythwood Rd,450 Blythwood Rd,M4N 1A9,North York,Toronto,Sunny View Public School,102001,2476347,450,,,,3024,313861.986,4841994.281,43.71985236,-79.38734085,"{u'type': u'Point', u'coordinates': (-79.3873376053, 43.7198437626)}"
